price,year,condition,odometer,car_age
39590,2020.0,2,3110.0,1.0
45590,2020.0,2,3687.0,1.0
16500,2013.0,3,51500.0,8.0
23000,2010.0,3,112000.0,11.0
14900,1999.0,2,140212.0,22.0
36590,2020.0,2,3592.0,1.0
13500,2012.0,3,138258.0,9.0
37990,2019.0,2,337.0,2.0
27900,2014.0,3,117834.0,7.0
26900,2014.0,4,64700.0,7.0
24900,2012.0,3,113761.0,9.0
19500,2013.0,3,124055.0,8.0
41590,2020.0,2,29010.0,1.0
39990,2019.0,2,19381.0,2.0
39590,2019.0,2,22154.0,2.0
38590,2020.0,2,1772.0,1.0
25590,2017.0,2,11325.0,4.0
23990,2019.0,2,20657.0,2.0
18951,1951.0,3,46016.0,70.0
7850,2014.0,2,87321.0,7.0
6500,2007.0,2,148980.0,14.0
6999,2012.0,2,120800.0,9.0
14900,2007.0,3,163211.0,14.0
16495,2008.0,3,154069.0,13.0
16600,2014.0,2,100784.0,7.0
32990,2018.0,2,29979.0,3.0
10495,2013.0,3,109004.0,8.0
8950,2014.0,2,131681.0,7.0
13900,2014.0,3,34761.0,7.0
17900,2005.0,3,117716.0,16.0
17900,2004.0,3,113661.0,17.0
12900,1999.0,2,178587.0,22.0
23950,2015.0,3,65919.0,6.0
12450,2013.0,4,95730.0,8.0
11950,2014.0,2,150710.0,7.0
7950,2015.0,2,153140.0,6.0
21990,2017.0,2,20941.0,4.0
19900,2018.0,3,66300.0,3.0
8900,2010.0,2,134037.0,11.0
23990,2010.0,3,19000.0,11.0
8495,2013.0,2,127000.0,8.0
8995,2011.0,3,113374.0,10.0
10900,2009.0,2,199912.0,12.0
4800,2004.0,2,226386.0,17.0
12990,2008.0,2,150075.0,13.0
33990,2016.0,2,33408.0,5.0
36990,2020.0,2,4282.0,1.0
12995,2013.0,3,68436.0,8.0
39590,2020.0,2,1988.0,1.0
16700,2010.0,3,184222.0,11.0
21600,2013.0,3,86611.0,8.0
48200,2018.0,3,33467.0,3.0
11500,2014.0,2,96650.0,7.0
12950,2014.0,3,91309.0,7.0
25990,2014.0,2,37374.0,7.0
29990,2019.0,2,6600.0,2.0
9495,2008.0,3,144657.0,13.0
9995,2011.0,3,92496.0,10.0
8495,2010.0,3,125082.0,11.0
9995,2014.0,3,111737.0,7.0
13495,2015.0,3,69430.0,6.0
11995,2012.0,3,126810.0,9.0
40990,2019.0,2,13564.0,2.0
31590,2015.0,2,58118.0,6.0
7995,2011.0,3,91763.0,10.0
8995,2012.0,3,90468.0,9.0
12500,2017.0,2,33591.0,4.0
40590,2020.0,2,19910.0,1.0
31590,2012.0,2,26461.0,9.0
2950,1996.0,2,218822.0,25.0
35590,2018.0,2,12113.0,3.0
